['PIH', 7.5700000000000003]
['TURN', 1.6799999999999999]
['FLWS', 9.8599999999999994]
['FCCY', 17.609999999999999]
['SRCE', 48.189999999999998]
['VNET', 5.8499999999999996]
['TWOU', 51.060000000000002]
['JOBS', 51.609999999999999]
['CAFD', 13.9]
['EGHT', 13.94]
['AVHI', 17.0]
['SHLM', 31.91]
['AAON', 35.060000000000002]
['ABAX', 47.909999999999997]
['ABEO', 10.48]
['ABEOW', None]
['ABIL', 0.91000000000000003]
['ABMD', 154.94999999999999]
['ABLX', nan]
['AXAS', 1.8799999999999999]
['ACIU', 9.9399999999999995]
['ACIA', 45.340000000000003]
['ACTG', 4.29]
['ACHC', 42.619999999999997]
['ACAD', 31.73]
['ACST', 1.3400000000000001]
['AXDX', 24.890000000000001]
['XLRN', 33.219999999999999]
['ANCX', 27.489999999999998]
['ARAY', 4.4500000000000002]
['ACRX', 2.73]
['ACER', 10.69]
['ACERW', None]
['ACET', 13.16]
['AKAO', 18.5]
['ACHV', 3.25]
['ACHN', 4.04]
['ACIW', 22.699999999999999]
['ACRS', 26.370000000000001]
['ACMR', nan]
['ACNB', 28.399999999999999]
['ACOR', 21.050000000000001]
['SQZZ', nan]
['ATVI', 59.520000000000003]
['ACTA', 14.23]
['ACXM', 26.120000000000001]
['ADMS', 20.57]
['ADMP', 4.6600000000000001]
['ADAP', 6.2800000000000002]
['ADUS', 34.82]
['AEY', 1.5800000000000001]
['IOTS', 6.0300000000000002]
['ADMA', 3.48]
['ADBE', 150.83000000000001]
['ADOM', nan]
['ADTN', 21.309999999999999]
['ADRO', 10.279999999999999]
['AAAP', 53.289999999999999]
['ADES', 9.7899999999999991]
['AEIS', 74.930000000000007]
['AMD', 12.44]
['ADXS', 5.96]
['ADXSW', None]
['ADVM', 2.9100000000000001]
['ACT', nan]
['AEGN', 22.690000000000001]
['AGLE', 4.8899999999999997]
['AEHR', 3.7599999999999998]
['AMTX', 1.0600000000000001]
['AERI', 53.359999999999999]
['AVAV', 40.219999999999999]
['AEZS', 1.8999999999999999]
['AEMD', 1.8]
['GNMX', 1.45]
['AFMD', 2.1299999999999999]
['AGEN', 3.8799999999999999]
['AGRX', 3.9300000000000002]
['AGYS', 10.699999999999999]
['AGIO', 57.850000000000001]
['AGNC', 20.100000000000001]
['AGNCB', nan]
['AGNCN', nan]
['AGFSW', None]
['ALRN', nan]
['AIMT', 24.039999999999999]
['AIRT', 19.260000000000002]
['ATSG', 22.260000000000002]
['AIRG', 11.77]
['AMCN', 2.3100000000000001]
['AKAM', 52.590000000000003]
['AKTX', 6.5199999999999996]
['AKCA', nan]
['AKBA', 14.51]
['AKER', 1.0900000000000001]
['AKRX', 32.240000000000002]
['AKTS', 7.8899999999999997]
['ALRM', 38.829999999999998]
['ALSK', 2.2200000000000002]
['ALBO', 23.190000000000001]
['ABDC', 11.15]
['ALDR', 13.91]
['ALDX', 5.4299999999999997]
['ALXN', 124.45]
['ALCO', 30.98]
['ALGN', 173.28999999999999]
['ALIM', 1.3899999999999999]
['ALJJ', 3.3500000000000001]
['ALKS', 54.5]
['ABTX', 37.729999999999997]
['ALGT', 138.88]
['ALNA', nan]
['AHGP', 25.77]
